	sonic_temperature K	PSPWatt_UP_Avg	CO2Flux(? mol+1s-1m-2)
2022/9/3 04:53	301.027	0.001666667	7.16941
2022/9/3 05:23	301.099	0	4.83997
2022/9/3 05:53	300.676	2.027233333	5.68945
2022/9/3 06:23	300.957	14.80253333	10.6642
2022/9/3 06:53	301.185	129.867	0.291326
2022/9/3 07:23	301.97	169.5133333	-7.49484
2022/9/3 07:53	302.073	178.0366667	-1.92548
2022/9/3 08:23	301.798	223.8333333	-4.95623
2022/9/3 08:53	301.174	186.7666667	-2.03795
2022/9/3 09:23	301.134	170.2733333	-3.54139
2022/9/3 09:53	301.854	317.2366667	-6.65677
2022/9/3 10:23	301.903	353.1233333	-13.237
2022/9/3 10:53	303.529	516.8266667	-12.9917
2022/9/3 11:23	301.883	94.09466667	121.64
2022/9/3 11:53	304.654	74.80833333	-120.286
2022/9/3 12:23	302.259	90.706	-4.78001
2022/9/3 12:53	301.261	31.355	11.4
2022/9/3 13:23	302.372	39.955	-96.1278
2022/9/3 13:53	306.046	13.9163	24.9299
2022/9/3 14:23	303.468	31.90466667	90.0918
2022/9/3 14:53	303.188	10.7957	132.607
2022/9/3 15:23	301.847	10.62153333	4.73141
2022/9/3 15:53	301.152	8.007866667	2.9711
2022/9/3 16:23	303.387	8.406166667	5.65244
2022/9/3 16:53	302.891	7.5882	-23.1385
2022/9/3 17:23	302.382	4.190866667	-32.5026
2022/9/3 17:53	303.04	2.620033333	-14.4512
2022/9/3 18:23	303.821	1.086366667	7.2713
2022/9/3 18:53	304.019	0.000233333	10.043
2022/9/3 19:23	304.047	0	2.30146
2022/9/3 19:53	303.811	0	1.06209
2022/9/3 20:23	303.145	0.001166667	75.5453
2022/9/3 20:53	302.899	0.000466667	60.9894
2022/9/3 21:23	303.819	0.0007	23.064
2022/9/3 21:53	302.971	0	-101
2022/9/3 22:23	302.633	0.000966667	65.6381
2022/9/3 22:53	298.836	0	-5.83924
2022/9/3 23:23	301.113	0	7.54471
2022/9/3 23:53	301.665	0	25.2679
2022/9/4 00:23	302.467	0	123.728
2022/9/4 00:53	301.058	0.000233333	-9.49596
2022/9/4 01:23	301.705	0	10.8334
2022/9/4 01:53	301.203	0.000233333	-7.03454
2022/9/4 02:23	301.886	0.000233333	46.7749
2022/9/4 02:53	300.141	0	24.6041
2022/9/4 03:23	300.093	0.000466667	119.747
2022/9/4 03:53	299.614	0.0044	29.3913
2022/9/4 04:23	301.802	0.002833333	8.28746
2022/9/4 04:53	301.111	0	20.5185
2022/9/4 05:23	300.692	0	-55.3726
2022/9/4 05:53	302.074	0.669566667	23.6313
2022/9/4 06:23	302.076	4.060166667	21.2795
2022/9/4 06:53	299.79	5.922533333	9.72673
2022/9/4 07:23	299.739	7.3774	-12.8856
2022/9/4 07:53	300.264	36.47533333	12.7863
2022/9/4 08:23	300.762	40.38713333	-30.0313
2022/9/4 08:53	298.652	39.64666667	9.0698
2022/9/4 09:23	298.446	52.287	47.3362
2022/9/4 09:53	301.729	88.28866667	1.9869
2022/9/4 10:23	304.657	224.52	49.0947
2022/9/4 10:53	304.411	359.3433333	-12.475
2022/9/4 11:23	303.02	547.3733333	-11.2215
2022/9/4 11:53	302.15	293.33	-5.33935
2022/9/4 12:23	302.654	384.8633333	-9.82595
2022/9/4 12:53	302.326	296.3666667	-1.58692
2022/9/4 13:23	301.49	167.1233333	-3.95252
2022/9/4 13:53	300.842	98.901	7.29713
2022/9/4 14:23	300.837	77.24733333	-0.514505
2022/9/4 14:53	300.395	51.62166667	6.67812
2022/9/4 15:23	300.225	24.273	0.927666
2022/9/4 15:53	300.117	34.69933333	-3.2622
2022/9/4 16:23	300.53	57.35833333	0.858791
2022/9/4 16:53	300.396	38.013	4.67573
2022/9/4 17:23	300.206	22.2734	0.301806
2022/9/4 17:53	303.159	4.748066667	-1.45997
2022/9/4 18:23	303.404	2.7709	8.34562
2022/9/4 18:53	303.323	0	-14.1021
2022/9/4 19:23	302.887	0	5.39359
2022/9/4 19:53	302.883	0	6.00888
2022/9/4 20:23	302.52	0	6.81561
2022/9/4 20:53	302.126	0	6.09968
2022/9/4 21:23	301.25	0	7.4283
2022/9/4 21:53	301.006	0	15.1591
2022/9/4 22:23	299.572	0	2.97459
2022/9/4 22:53	300.1	0	17.3948
2022/9/4 23:23	298.074	0.000233333	17.0067
2022/9/4 23:53	296.711	0.000466667	11.8813
2022/9/5 00:23	296.146	0	2.25388
2022/9/5 00:53	295.996	0	4.07414
2022/9/5 01:23	300.262	0	7.4603
2022/9/5 01:53	299.937	0	-6.79275
2022/9/5 02:23	299.835	0	-8.72483
2022/9/5 02:53	299.521	0	2.78323
2022/9/5 03:23	299.407	0	-0.445369
2022/9/5 03:53	299.183	0	1.99355
2022/9/5 04:23	299.141	0	-5.73106
2022/9/5 04:53	299.038	0	13.9709
2022/9/5 05:23	298.911	0	-25.9438
2022/9/5 05:53	298.836	1.557266667	8.26203
2022/9/5 06:23	298.453	11.97933333	44.5491
2022/9/5 06:53	298.462	27.42533333	-3.0684
2022/9/5 07:23	299.246	78.32033333	5.94542
2022/9/5 07:53	300.075	142.29	-8.31159
2022/9/5 08:23	301.752	327.1033333	-6.32674
2022/9/5 08:53	302.691	422.73	-9.19867
2022/9/5 09:23	303.449	531.3666667	-13.1458
2022/9/5 09:53	302.896	440.9266667	-12.1472
2022/9/5 10:23	304.466	711.08	-5.69904
2022/9/5 10:53	305.312	775.03	-4.47271
2022/9/5 11:23	306.684	859.0833333	-0.715217
2022/9/5 11:53	305.986	618.4033333	-4.52266
2022/9/5 12:23	303.636	264.5866667	-1.76436
2022/9/5 12:53	302.579	92.318	-4.49896
2022/9/5 13:23	303.237	112.7323333	-0.714184
2022/9/5 13:53	302.949	74.09066667	-114.296
2022/9/5 14:23	301.137	156.9633333	2.81657
2022/9/5 14:53	302.979	221.5566667	14.1351
2022/9/5 15:23	303.639	226.7	1.18406
2022/9/5 15:53	303.275	198.7866667	1.32903
2022/9/5 16:23	302.568	97.40066667	0.909522
2022/9/5 16:53	301.995	62.7	1.85204
2022/9/5 17:23	301.418	18.894	0.356373
2022/9/5 17:53	300.926	7.0917	2.68779
2022/9/5 18:23	300.644	0.9453	2.07002
2022/9/5 18:53	300.645	0	3.32956
2022/9/5 19:23	300.519	0	0.249264
2022/9/5 19:53	300.31	0	-3.99863
2022/9/5 20:23	300.169	0	2.12661
2022/9/5 20:53	300.302	0	0.416027
2022/9/5 21:23	300.474	0.0044	1.65566
2022/9/5 21:53	300.945	0.030866667	5.22263
2022/9/5 22:23	300.984	0.010633333	-27.3936
2022/9/5 22:53	300.594	0	143.367
