Sonic Temperature,Shortwave Radiation,Carbon Dioxide Flux
29.688,563.8133333,3.00743
28.687,214.6433333,3.00009
29.602,265.2033333,2.99986
30.656,215.9266667,2.9984
29.215,170.9133333,2.98808
32.392,953.7333333,2.97992
31.843,341.9766667,2.97372
30.79,482.27,2.97364
25.653,0.8865,2.97233
31.839,819.13,2.92044
30.542,329.7433333,2.91559
28.335,51.438,2.89167
30.933,499.15,2.87596
30.599,651.89,2.86165
29.935,307.25,2.85124
30.126,769.4966667,2.82234
27.632,374.3593333,2.81572
29.783,670.7133333,2.77572
31.176,330.66,2.77232
30.825,897.4166667,2.75134
28.344,189.4333333,2.74674
27.27,397.9133333,2.72772
28.519,591.3833333,2.69113
29.464,411.03,2.68599
27.451,22.07333333,2.63131
30.268,515.4233333,2.6312
26.755,10.83363333,2.61222
29.227,493.8466667,2.58445
27.793,2.785333333,2.57418
31.118,830.3733333,2.57218
32.509,718.7366667,2.55765
23.438,0.5075,2.55608
31.323,271.9033333,2.49428
22.549,2.816466667,2.48281
31.129,369.6733333,2.41397
25.796,137.9543333,2.40628
21.948,22.228,2.39995
25.069,0.2551,2.35554
27.656,326.046,2.33946
28.429,93.79566667,2.33743
32.202,939.5333333,2.32761
30.214,503.38,2.30917
31.755,242.9266667,2.28667
28.876,392.5533333,2.26866
25.429,74.481,2.21994
28.692,184.6766667,2.20624
28.601,149.47,2.19208
29.114,456.4666667,2.15667
28.253,428.48,2.14558
30.063,156.6833333,2.12414
31.381,640.9966667,2.11203
29.545,152.26,2.10125
28.551,256.5033333,2.09112
30.091,467.5,2.07304
29.299,97.91833333,2.07212
28.516,159.9863333,2.06517
29.372,506.0666667,2.06475
31.083,551.67,2.05345
32.679,995.9566667,2.05176
30.541,479.16,2.04943
28.024,186.7666667,2.03795
24.582,216.2266667,2.03299
30.861,614.6533333,2.03293
28.605,717.42,2.01653
31.485,0.2259,2.00118
27.737,247.1533333,1.99369
29.838,284.11,1.96221
31.814,932.1666667,1.96167
27.501,57.66433333,1.96136
32.62,954.31,1.95563
28.923,178.0366667,1.92548
29.317,414.7666667,1.92029
28.316,134.1733333,1.91887
27.482,308.5866667,1.90945
27.04,184.77,1.89307
29.239,511.9633333,1.87655
27.341,166.2466667,1.85919
29.769,151.06,1.85341
32.974,926.9333333,1.84712
26.252,0.000233333,1.84121
25.517,79.14766667,1.80967
29.653,217.78,1.80525
28.561,149.8105,1.78193
29.159,159.7463333,1.77466
29.276,537.8,1.76981
30.486,264.5866667,1.76436
30.722,396.6,1.76196
26.994,160.55,1.75275
26.506,208.64,1.74316
27.763,101.6506667,1.73925
22.986,2.096966667,1.73271
30.801,580.7766667,1.72196
30.067,519.5433333,1.72134
30.57,727.11,1.71329
32.653,1027.133333,1.71072
27.613,326.5466667,1.65661
26.717,427.1633333,1.64987
28.851,394.3566667,1.64759
24.155,0.000233333,1.63345
30.412,590.68,1.6314
28.175,166.66,1.60739
27.763,129.5013333,1.60518
28.177,122.4233333,1.60111
29.551,123.873,1.60075
24.561,0.050533333,1.58869
29.176,296.3666667,1.58692
27.951,346.2733333,1.57731
24.23,0.102266667,1.54512
32.046,882.8333333,1.51715
23.135,2.5797,1.49438
26.606,308.7966667,1.49329
31.167,530.6966667,1.49291
30.883,320.1566667,1.47157
30.009,4.748066667,1.45997
26.025,209.48,1.45733
29.784,242.3433333,1.44856
27.261,149.9066667,1.43199
30.567,186.63,1.40599
23.554,0.0477,1.39817
30.163,162.83,1.38571
30.975,367.5966667,1.37751
22.666,1.291133333,1.36429
30.134,667.8666667,1.36351
30.702,502.3566667,1.36085
29.951,233.39,1.35758
20.931,2.5713,1.33322
30.768,604.04,1.27964
26.247,106.928,1.25608
30.78,187.5066667,1.25545
24.907,0.0427,1.23548
22.114,17.3681,1.23474
27.563,161.95,1.22796
24.127,0.029366667,1.20348
26.112,324.9666667,1.20264
24.915,51.225,1.18595
27.226,272.3833333,1.17066
28.078,108.73,1.16151
28.402,187.7566667,1.14368
27.778,96.143,1.12869
28.957,144.8833333,1.11086
25.275,218.6866667,1.10799
26.893,284.0433333,1.10009
28.456,147.8066667,1.08948
24.03,0.005933333,1.07783
26.376,343.82,1.07152
30.144,147.08,1.0629
30.883,589.1766667,1.05813
28.704,99.11533333,1.03841
26.603,319.45,1.03187
32.571,845.0066667,1.00661
24.396,213.8266667,0.994778
30.759,392.2166667,0.989239
25.775,0.285,0.972275
30.285,628.75,0.959429
24.91,58.286,0.945822
28.399,393.1066667,0.9384
29.895,92.2,0.937866
28.995,29.945,0.925242
24.802,27.00466667,0.919421
29.159,467.9733333,0.916631
27.434,37.48,0.90114
26.443,235.44,0.853459
27.86,313.8766667,0.827261
29.386,489.4533333,0.805522
28.738,389.2166667,0.790824
28.205,34.76366667,0.784022
26.939,151.15,0.772896
28.848,101.1433333,0.75704
28.471,407.2466667,0.748354
25.685,0.014066667,0.732836
30.454,218.6533333,0.729678
24.567,209.9866667,0.719749
29.499,227.0566667,0.715707
33.534,859.0833333,0.715217
30.087,112.7323333,0.714184
27.439,55.55666667,0.707065
25.415,61.13466667,0.698461
27.919,47.13566667,0.694507
32.322,766.3233333,0.693625
29.765,132.5866667,0.690909
28.415,440.6166667,0.679469
28.526,255.46,0.675562
22.376,21.25233333,0.645825
28.095,66.4,0.639955
32.647,795.42,0.627967
23.705,2.36,0.622873
28.569,288.1133333,0.617733
29.663,125.2816667,0.614214
30.49,600.9,0.600316
27.727,471.47,0.576638
22.446,0.319066667,0.57621
27.388,117.1033333,0.556808
29.619,204.77,0.543863
30.995,567.6166667,0.540725
31.086,836.09,0.523312
27.687,77.24733333,0.514505
26.806,263.3566667,0.505007
25.005,50.53533333,0.493418
24.637,0.043,0.482306
26.918,0.040766667,0.473966
28.248,72.435,0.473777
27.668,89.092,0.468736
29.779,285.5733333,0.43595
26.951,157.5666667,0.422246
27.877,281.4866667,0.420878
27.093,143.1433333,0.404154
27.919,105.5586667,0.390061
28.961,482.2633333,0.363459
27.201,111.4106667,0.359451
28.013,269.2733333,0.353599
28.82,83.454,0.348544
26.951,190.726,0.33225
27.912,14.95856667,0.32495
22.75,0.3322,0.306292
27.047,143.9233333,0.300612
29.565,135.6233333,0.281611
20.425,23.07766667,0.256844
26.79,20.14566667,0.243351
30.67,477.46,0.227867
28.525,106.8866667,0.216534
30.757,396.0966667,0.195395
27.651,75.31633333,0.190152
28.998,43.231,0.170425
29.7,261.61,0.163171
31.455,721.8566667,0.161429
25.265,42.74933333,0.159137
24.895,5.144266667,0.157395
31.236,672.55,0.129761
32.283,517.1233333,0.129248
22.975,78.38233333,0.108454
29.935,199.7466667,0.0633
26.854,83.611,0.0609
24.718,157.0536667,0.0429
26.047,277.7133333,3.21E-02
28.253,60.21433333,0.00697
